,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,wilidlife_cost_benefits,importance,problems,wildlife_problem1,wildlife_problem2,wildlife_problem3,wildlife_problem4,wildlife_problem5,other_wildlife,problem_trend,positive_conservation1,positive_conservation2,positive_conservation3,other_positive,negative_conservation1,negative_conservation2,negative_conservation3,other_negative,population
80,lbaa lotepes 009,42,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,42,2,3,2,1,2,4,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
81,lbaa lotepes 010,43,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,43,98,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,1,NA,NA,NA,NA
82,lbaa lotepes 011,44,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,44,2,3,2,1,2,3,4,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
83,lbaa lotepes 012,45,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,45,2,3,2,1,2,3,4,NA,NA,2,2,NA,NA,NA,1,2,NA,NA,NA
84,lbaa lotepes 013,46,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,46,2,3,2,1,4,NA,NA,NA,NA,2,2,NA,NA,NA,1,2,NA,NA,NA
85,lbaa lotepes 014,47,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,47,2,3,2,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
86,lbaa lotepes 015,48,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,48,2,3,2,1,2,4,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
87,lbaa lotepes 016,49,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,49,2,3,2,1,2,3,4,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
88,lbaa lotepes 017,50,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,50,2,3,2,1,2,3,4,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
89,lekiji001,162,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT,31,2,3,2,1,2,NA,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
