,hhid,index.x,security_status,feel_safe,conflict1,conflict2,conflict3,conflict4,conflict5,conflict6,other_conflict,conflict_rank1,conflict_rank2,conflict_rank3,index.y,date,ccy,location,sublocation,village,survey_type,nrt
129,lekiji001,31,2,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
130,lekiji001,162,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
131,lekiji001,162,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,162,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
132,lekiji001,162,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
133,lekiji001,31,2,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
134,lekiji001,31,2,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,162,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
135,lekiji001,31,2,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
136,lekiji002,32,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
137,lekiji002,32,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,163,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
138,lekiji002,32,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
139,lekiji002,163,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
140,lekiji002,163,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,163,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
141,lekiji002,163,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
142,lekiji002,32,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
143,lekiji002,32,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,163,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
144,lekiji002,32,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
145,lekiji003,164,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,164,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
146,lekiji003,164,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
147,lekiji003,164,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
148,lekiji003,33,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,164,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
