,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,eat_meat,drink_milk,sick_adults,sick_children,medical_services1,medical_services2,medical_services3,medical_services4,visit,no_times,water_wet_season1,water_wet_season2,water_wet_season3,water_wet_season4,water_wet_season5,important_wet_water,important_wet_water2,important_wet_water3,water_dry_season1,water_dry_season2,water_dry_season3,water_dry_season4,water_dry_season5,important_dry_water,important_dry_water2,important_dry_water3,hours_wet_season,hours_dry_season
80,lbaa lotepes 009,42,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
81,lbaa lotepes 010,43,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,43,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
82,lbaa lotepes 011,44,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,44,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
83,lbaa lotepes 012,45,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,45,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
84,lbaa lotepes 013,46,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,46,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
85,lbaa lotepes 014,47,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,47,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
86,lbaa lotepes 015,48,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,48,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
87,lbaa lotepes 016,49,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,49,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
88,lbaa lotepes 017,50,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,50,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
89,lekiji001,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,31,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,4
